LSM303D detected successfully.
starting main
x -4.703588
y -7.99344
z 7.99344
Begin calibration routine
('gravity magnitude', 1.0194781099777315)
('gravity removed', [-0.1378853055123752, -0.03721261059617976, 1.0099368586820843])
end of calibration
sleeping
clearing graph
beginning main loop
X Acceleration,Y Acceleration,Z Acceleration,X Kalman,Y Kalman,Z Kalman,X Kalman Rounded,Y Kalman Rounded,Z Kalman Rounded
(-0.10004, 0, 1.019188, 0.007782241683620725, 0, 0.0018610033987025432, '0.008', '0.000', '0.002')
(-0.104188, 0, 1.0255319999999999, 0.0035302484846430615, 0, 0.008102825310773998, '0.004', '0.000', '0.008')
(-0.104188, 0, 1.0255319999999999, 0.003430684138640741, 0, 0.007991424277821402, '0.003', '0.000', '0.008')
(-0.104188, 0, 1.0255319999999999, 0.0035930798559798555, 0, 0.007891336151174544, '0.004', '0.000', '0.008')
(-0.104188, 0, 1.0255319999999999, 0.0034919191520281917, 0, 0.007959673089972252, '0.003', '0.000', '0.008')
(-0.104188, 0, 0.997228, 0.0034554625250013404, 0, -0.020425814501270123, '0.003', '0.000', '-0.020')
(-0.100284, 0, 0.997228, 0.007171054851665498, 0, -0.020510034593079984, '0.007', '0.000', '-0.021')
(-0.100284, 0, 0.997228, 0.007756042023211132, 0, -0.020617045640490828, '0.008', '0.000', '-0.021')
(-0.100284, 0, 0.997228, 0.007626450853656819, 0, -0.020548812622007917, '0.008', '0.000', '-0.021')
(-0.100284, 0, 0.997228, 0.0075023099135664295, 0, -0.020627520944571875, '0.008', '0.000', '-0.021')
(-0.099308, 0, 1.01626, 0.007912027350763712, 0, -0.0016944498369835248, '0.008', '0.000', '-0.002')
(-0.099308, 0, 1.01626, 0.007741730099366725, 0, -0.0016304348360793863, '0.008', '0.000', '-0.002')
(-0.099308, 0, 1.01626, 0.007578471788763391, 0, -0.0017096444969373348, '0.008', '0.000', '-0.002')
(-0.099308, 0, 1.01626, 0.0074594741472839565, 0, -0.0017997493496197947, '0.007', '0.000', '-0.002')
(-0.099308, 0, 1.01626, 0.007301240338896134, 0, -0.0017356328648829855, '0.007', '0.000', '-0.002')
(-0.106872, 0, 1.007964, -0.0002448222575201914, 0, -0.010214638035280332, '-0.000', '0.000', '-0.010')
(-0.106872, 0, 1.007964, -0.00022760064695759308, 0, -0.010276234214094293, '-0.000', '0.000', '-0.010')
(-0.106872, 0, 1.007964, -0.0006082988065037598, 0, -0.010334002089274819, '-0.001', '0.000', '-0.010')
(-0.106872, 0, 1.007964, -0.0005836237281495182, 0, -0.010258132509770812, '-0.001', '0.000', '-0.010')
(-0.106872, 0, 1.007964, -0.0005599218275542522, 0, -0.010303319673753863, '-0.001', '0.000', '-0.010')
