LSM303D detected successfully.
starting main
x -0.09882
y 0
z 1.008696
Begin calibration routine
('gravity magnitude', 1.0126003327982493)
('gravity removed', [-0.3345716713427768, -0.22861497489692073, 0.958895494397769])
end of calibration
sleeping
clearing graph
beginning main loop
X Acceleration,Y Acceleration,Z Acceleration,X Kalman,Y Kalman,Z Kalman,X Kalman Rounded,Y Kalman Rounded,Z Kalman Rounded
(-0.102968, 0, 1.011136, 0.20898180801129207, 0, 0.04486125775919758, '0.209', '0.000', '0.045')
(-0.102968, 0, 1.011136, 0.19231204229971982, 0, 0.039229828548216994, '0.192', '0.000', '0.039')
(-0.102968, 0, 1.011136, 0.1764194107696297, 0, 0.03491821913162929, '0.176', '0.000', '0.035')
(-0.101504, 0, 1.016504, 0.1642518747387018, 0, 0.03606394170868976, '0.164', '0.000', '0.036')
(-0.101504, 0, 1.016504, 0.15455931643208543, 0, 0.03308138142438266, '0.155', '0.000', '0.033')
(-0.101504, 0, 1.016504, 0.14414813413544814, 0, 0.030769957018807248, '0.144', '0.000', '0.031')
(-0.101504, 0, 1.016504, 0.13503959139842014, 0, 0.028834576345697416, '0.135', '0.000', '0.029')
(-0.101504, 0, 1.012356, 0.1286192744625494, 0, 0.02294131643211228, '0.129', '0.000', '0.023')
(-0.100772, 0, 1.012356, 0.12200226000172062, 0, 0.021520745923885864, '0.122', '0.000', '0.022')
(-0.100772, 0, 1.012356, 0.11543880796762782, 0, 0.02029364482746976, '0.115', '0.000', '0.020')
(-0.100772, 0, 1.012356, 0.10954161822698527, 0, 0.019463960908306932, '0.110', '0.000', '0.019')
(-0.100772, 0, 1.012356, 0.10623077616118232, 0, 0.01829787410838879, '0.106', '0.000', '0.018')
(-0.10248, 0, 0.9989359999999999, 0.09964875544070796, 0, 0.00404655341012794, '0.100', '0.000', '0.004')
(-0.10248, 0, 0.9989359999999999, 0.0952117983316421, 0, 0.0031853453473348337, '0.095', '0.000', '0.003')
(-0.10248, 0, 0.9989359999999999, 0.09327575457178806, 0, 0.0024292145070137217, '0.093', '0.000', '0.002')
(-0.10248, 0, 0.9989359999999999, 0.08938924741581365, 0, 0.0018294549982962316, '0.089', '0.000', '0.002')
(-0.10248, 0, 0.9989359999999999, 0.0858160413251348, 0, 0.0012903028574768882, '0.086', '0.000', '0.001')
(-0.102724, 0, 1.020164, 0.08220282055930526, 0, 0.021881099889068945, '0.082', '0.000', '0.022')
(-0.102724, 0, 1.020164, 0.08120548842994367, 0, 0.02132895271279278, '0.081', '0.000', '0.021')
(-0.102724, 0, 1.020164, 0.0781651592352096, 0, 0.020910422899984016, '0.078', '0.000', '0.021')
(-0.102724, 0, 1.020164, 0.07534078288953368, 0, 0.020374411854604646, '0.075', '0.000', '0.020')
(-0.102724, 0, 1.014064, 0.07502615628484478, 0, 0.014111002850087817, '0.075', '0.000', '0.014')
(-0.098088, 0, 1.014064, 0.07692902143297235, 0, 0.013751619273340454, '0.077', '0.000', '0.014')
(-0.098088, 0, 1.014064, 0.07437573008555955, 0, 0.013422307418929469, '0.074', '0.000', '0.013')
(-0.098088, 0, 1.014064, 0.07198511267016876, 0, 0.012949638758147586, '0.072', '0.000', '0.013')
(-0.098088, 0, 1.014064, 0.0697421158963236, 0, 0.012553710267065199, '0.070', '0.000', '0.013')
(-0.105164, 0, 1.00894, 0.060781059417222186, 0, 0.007207705574443279, '0.061', '0.000', '0.007')
(-0.105164, 0, 1.00894, 0.05900571522570118, 0, 0.007002201803237185, '0.059', '0.000', '0.007')
(-0.105164, 0, 1.00894, 0.057330781468791905, 0, 0.006721699400495718, '0.057', '0.000', '0.007')
(-0.105164, 0, 1.00894, 0.05846283905225384, 0, 0.00639997131413117, '0.058', '0.000', '0.006')
(-0.105164, 0, 1.00894, 0.056839889928953044, 0, 0.006234087871757277, '0.057', '0.000', '0.006')
(-0.09516, 0.02196, 1.001376, 0.06506138612459561, 0.06723230101162732, -0.001592447189716184, '0.065', '0.067', '-0.002')
(-0.09516, 0.02196, 1.001376, 0.06547197801271312, 0.06488922613679299, -0.0015863794217634286, '0.065', '0.065', '-0.002')
